Unnamed: 0.1,Unnamed: 0,Ticker,date,change,num,sum,max,avg,min_dist,max_dist,tsunami,rev_dist
8,8,^DJI,2008-08-01 00:00:00-04:00,-53.5693359375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,^DJI,2008-08-04 00:00:00-04:00,-42.169921875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,^DJI,2008-08-05 00:00:00-04:00,329.75,2,12.3,6.3,6.15,11867.376210037273,15466.921447270579,0.0,8.42646244882852e-05
44,44,^DJI,2008-08-06 00:00:00-04:00,52.4306640625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,^DJI,2008-08-07 00:00:00-04:00,-223.990234375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,^DJI,2008-08-08 00:00:00-04:00,302.23046875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,^DJI,2008-08-11 00:00:00-04:00,52.6796875,3,19.0,6.5,6.333333333333333,14087.6317412579,16106.12344948248,0.0,7.098425188609515e-05
92,92,^DJI,2008-08-12 00:00:00-04:00,-139.23046875,1,6.0,6.0,6.0,6999.629576084493,6999.629576084493,0.0,0.0001428647029289495
104,104,^DJI,2008-08-13 00:00:00-04:00,-99.849609375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,116,^DJI,2008-08-14 00:00:00-04:00,83.859375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,126,^DJI,2008-08-15 00:00:00-04:00,48.6904296875,1,6.0,6.0,6.0,13778.117719176098,13778.117719176098,0.0,7.257885441116683e-05
138,138,^DJI,2008-08-18 00:00:00-04:00,-180.2607421875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,150,^DJI,2008-08-19 00:00:00-04:00,-129.5400390625,1,6.1,6.1,6.1,11887.650026091831,11887.650026091831,0.0,8.412091521916706e-05
162,162,^DJI,2008-08-20 00:00:00-04:00,71.4892578125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,174,^DJI,2008-08-21 00:00:00-04:00,14.9794921875,1,6.0,6.0,6.0,12671.953600034096,12671.953600034096,0.0,7.89144303682827e-05
186,186,^DJI,2008-08-22 00:00:00-04:00,201.26953125,1,6.0,6.0,6.0,15380.436966903388,15380.436966903388,0.0,6.50176586108616e-05
197,197,^DJI,2008-08-25 00:00:00-04:00,-239.9404296875,1,6.7,6.7,6.7,11742.301412898205,11742.301412898205,0.0,8.516218114632629e-05
209,209,^DJI,2008-08-26 00:00:00-04:00,29.310546875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,221,^DJI,2008-08-27 00:00:00-04:00,90.0498046875,2,12.7,6.4,6.35,5355.797014800556,9771.99232923063,0.0,0.00018671357357953172
233,233,^DJI,2008-08-28 00:00:00-04:00,215.3095703125,1,6.3,6.3,6.3,7279.903195409703,7279.903195409703,0.0,0.00013736446394377108
245,245,^DJI,2008-08-29 00:00:00-04:00,-169.2705078125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,263,^DJI,2008-09-02 00:00:00-04:00,-28.7099609375,3,18.4,6.4,6.133333333333333,12577.258865214959,14413.539490573989,0.0,7.950858058314354e-05
273,273,^DJI,2008-09-03 00:00:00-04:00,26.8701171875,1,6.3,6.3,6.3,7550.739086862271,7550.739086862271,0.0,0.00013243736652746038
285,285,^DJI,2008-09-04 00:00:00-04:00,-344.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,297,^DJI,2008-09-05 00:00:00-04:00,35.330078125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,309,^DJI,2008-09-08 00:00:00-04:00,285.8701171875,2,13.100000000000001,6.9,6.550000000000001,13425.088040782493,13684.596093505541,0.0,7.448740723056846e-05
321,321,^DJI,2008-09-09 00:00:00-04:00,-284.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,333,^DJI,2008-09-10 00:00:00-04:00,35.009765625,2,12.7,6.6,6.35,5020.014276476237,10918.265228279262,0.0,0.0001992026207347647
345,345,^DJI,2008-09-11 00:00:00-04:00,169.26953125,2,13.399999999999999,6.8,6.699999999999999,10100.345650044377,14818.007331336697,0.0,9.900651271232548e-05
357,357,^DJI,2008-09-12 00:00:00-04:00,-7.330078125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,367,^DJI,2008-09-15 00:00:00-04:00,-498.8603515625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,379,^DJI,2008-09-16 00:00:00-04:00,153.3994140625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,391,^DJI,2008-09-17 00:00:00-04:00,-446.919921875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,403,^DJI,2008-09-18 00:00:00-04:00,410.6806640625,1,6.0,6.0,6.0,5984.994025002638,5984.994025002638,0.0,0.00016708454441599198
415,415,^DJI,2008-09-19 00:00:00-04:00,360.9306640625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,427,^DJI,2008-09-22 00:00:00-04:00,-378.7294921875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,438,^DJI,2008-09-23 00:00:00-04:00,-161.5205078125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,450,^DJI,2008-09-24 00:00:00-04:00,-24.849609375,1,6.4,6.4,6.4,3960.425313309953,3960.425313309953,0.0,0.00025249813363207777
462,462,^DJI,2008-09-25 00:00:00-04:00,194.8896484375,1,6.0,6.0,6.0,11748.22282957809,11748.22282957809,0.0,8.511925714264926e-05
474,474,^DJI,2008-09-26 00:00:00-04:00,124.08984375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,485,^DJI,2008-09-29 00:00:00-04:00,-774.169921875,1,7.0,7.0,7.0,13191.119960485594,13191.119960485594,0.0,7.580857448006923e-05
496,496,^DJI,2008-09-30 00:00:00-04:00,479.080078125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,507,^DJI,2008-10-01 00:00:00-04:00,-16.330078125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,516,^DJI,2008-10-02 00:00:00-04:00,-342.6904296875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,527,^DJI,2008-10-03 00:00:00-04:00,-158.580078125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
