tsunami,significance,data_type,magnitude,state,longitude,latitude,depth,date,time
0,611,earthquake,6.3, Vanuatu,168.796,-20.273,14.0,2008-04-19,05:58:42.250000+00:00
0,555,earthquake,6.0, Timor Leste,125.722,-7.875,10.0,2008-04-19,10:21:12.500000+00:00
0,559,earthquake,6.0, Taiwan,121.619,22.881,10.0,2008-04-23,18:28:41.880000+00:00
0,650,earthquake,6.5,central Mid-Atlantic Ridge,-23.471,-1.182,10.0,2008-04-24,12:14:49.920000+00:00
0,573,earthquake,6.1, New Zealand region,164.117,-49.091,10.0,2008-04-26,23:34:49.390000+00:00
0,572,earthquake,6.1,South Sandwich Islands region,-24.714,-58.739,35.0,2008-04-28,15:57:55.280000+00:00
0,630,earthquake,6.4, Vanuatu,168.953,-19.941,32.0,2008-04-28,18:33:34.200000+00:00
0,572,earthquake,6.1, Vanuatu,168.824,-20.238,35.0,2008-04-28,20:26:53.110000+00:00
0,670,earthquake,6.6, Alaska,-177.528,51.864,14.0,2008-05-02,01:33:37.240000+00:00
0,608,earthquake,6.2, Japan,141.545,36.178,19.0,2008-05-07,16:02:02.600000+00:00
0,573,earthquake,6.1, Japan,141.756,36.156,23.3,2008-05-07,16:16:36.190000+00:00
0,910,earthquake,6.9, Japan,141.526,36.164,27.0,2008-05-07,16:45:18.700000+00:00
0,742,earthquake,6.8, Guam,143.181,12.516,76.0,2008-05-09,21:51:29.730000+00:00
0,1870,earthquake,7.9, China,103.322,31.002,19.0,2008-05-12,06:28:01.570000+00:00
0,577,earthquake,6.1, China,103.618,31.214,10.0,2008-05-12,11:11:02.480000+00:00
0,554,earthquake,6.0, Indonesia,99.147,1.64,10.0,2008-05-19,14:26:45.020000+00:00
0,611,earthquake,6.3, Aleutian Islands,178.759,51.162,27.0,2008-05-20,13:53:35.640000+00:00
0,650,earthquake,6.5,central Mid-Atlantic Ridge,-34.897,7.313,8.0,2008-05-23,19:35:34.780000+00:00
0,601,earthquake,6.1, China,105.423,32.56,18.0,2008-05-25,08:21:49.990000+00:00
0,713,earthquake,6.3, Iceland,-21.013,64.005,9.0,2008-05-29,15:46:00.320000+00:00
0,620,earthquake,6.3, Philippines,121.35,20.124,31.0,2008-06-01,01:57:23.690000+00:00
0,650,earthquake,6.5,west of Macquarie Island,149.66,-59.384,10.0,2008-06-01,14:31:03.010000+00:00
0,593,earthquake,6.2, Solomon Islands,161.273,-10.509,84.0,2008-06-03,16:20:50.380000+00:00
0,554,earthquake,6.0, Indonesia,120.231,-8.1,14.0,2008-06-03,22:04:27.870000+00:00
0,554,earthquake,6.0,West Chile Rise,-91.623,-38.844,10.0,2008-06-05,02:16:46.930000+00:00
0,556,earthquake,6.0, Timor Leste,127.885,-7.495,122.0,2008-06-06,13:42:48.950000+00:00
0,1000,earthquake,6.4, Greece,21.525,37.963,16.0,2008-06-08,12:25:29.710000+00:00
0,888,earthquake,6.9, Japan,140.881,39.03,7.8,2008-06-13,23:43:45.360000+00:00
0,554,earthquake,6.0,southern East Pacific Rise,-107.45,-36.623,10.0,2008-06-15,08:37:17.200000+00:00
0,572,earthquake,6.1, Russia,141.276,67.698,18.0,2008-06-22,23:56:30.030000+00:00
0,591,earthquake,6.2, Tonga,-173.342,-20.768,38.0,2008-06-26,21:19:15.580000+00:00
0,680,earthquake,6.6, India,91.824,11.005,17.0,2008-06-27,11:40:13.990000+00:00
0,573,earthquake,6.1, India,91.712,10.847,15.0,2008-06-28,12:54:46.360000+00:00
0,554,earthquake,6.0, Russia,137.446,45.156,326.0,2008-06-29,20:53:04.890000+00:00
0,754,earthquake,7.0,South Sandwich Islands region,-22.099,-58.227,8.0,2008-06-30,06:17:43.020000+00:00
0,591,earthquake,6.2,south of the Fiji Islands,-179.778,-23.37,581.2,2008-07-03,03:02:37.560000+00:00
0,918,earthquake,7.7,Sea of Okhotsk,152.886,53.882,632.8,2008-07-05,02:12:04.480000+00:00
0,645,earthquake,6.0, Japan,128.334,27.532,43.0,2008-07-08,07:42:10.730000+00:00
0,601,earthquake,6.2, Peru,-71.748,-15.986,123.0,2008-07-08,09:13:07.460000+00:00
0,592,earthquake,6.2, Philippines,121.149,21.014,14.0,2008-07-13,14:58:33.010000+00:00
0,792,earthquake,6.4, Greece,27.86,35.8,52.0,2008-07-15,03:26:34.700000+00:00
0,840,earthquake,7.0, Japan,142.214,37.552,22.0,2008-07-19,02:39:28.700000+00:00
0,670,earthquake,6.6, Solomon Islands,164.493,-11.041,11.0,2008-07-19,09:27:01.460000+00:00
0,591,earthquake,6.2, Solomon Islands,164.616,-11.066,10.0,2008-07-19,11:01:17.710000+00:00
0,630,earthquake,6.4,Fiji region,-177.312,-17.337,391.0,2008-07-19,22:39:52.700000+00:00
0,565,earthquake,6.0, Japan,142.051,37.186,22.0,2008-07-21,11:30:29.280000+00:00
0,1046,earthquake,6.8, Japan,141.464,39.802,108.0,2008-07-23,15:26:19.950000+00:00
0,591,earthquake,6.2, Russia,157.584,50.967,27.0,2008-07-24,01:43:16.140000+00:00
0,554,earthquake,6.0, Solomon Islands,163.103,-10.578,10.0,2008-07-28,21:40:47.360000+00:00
