date,change,change_pct,effect,num,sum,max_mag,max_sig,min_depth,min_dist,tsunami
2008-08-01,50.796875,1.8464742037266362,0,0,,,,,,
2008-08-04,-41.2451171875,-1.4820459181583259,0,0,,,,,,
2008-08-05,-60.453857421875,-2.1973632776536163,1,1,6.3,6.3,614.0,173.9,4213.58830561429,0.0
2008-08-06,7.765869140625,0.2863941314097895,0,1,6.0,6.0,566.0,6.0,1517.7596452778962,0.0
2008-08-07,10.074951171875,0.3707431069291147,0,0,,,,,,
2008-08-08,-118.7109375,-4.357276218460624,1,0,,,,,,
2008-08-11,-125.821044921875,-4.846923468599857,2,3,19.0,6.5,650.0,10.0,3782.205832687618,0.0
2008-08-12,11.98193359375,0.49001533107585615,0,1,6.0,6.0,554.0,13.0,14913.725032470824,0.0
2008-08-13,5.772216796875,0.2365153820529211,0,0,,,,,,
2008-08-14,4.885009765625,0.2008476172972068,0,0,,,,,,
2008-08-15,16.2021484375,0.6655477927479119,0,0,,,,,,
2008-08-18,-131.91015625,-5.380183367001965,2,1,6.0,6.0,562.0,10.0,2050.470023132059,0.0
2008-08-19,47.223876953125,2.0556742769766267,0,0,,,,,,
2008-08-20,190.798095703125,8.180039175813237,0,1,6.1,6.1,572.0,8.0,8630.640599157752,0.0
2008-08-21,-52.76904296875,-2.1239428166066934,0,0,,,,,,
2008-08-22,-9.23291015625,-0.3824007869257719,0,1,6.0,6.0,556.0,10.0,2428.294058857004,0.0
2008-08-25,5.279052734375,0.21922111871001507,0,1,6.0,6.0,554.0,6.0,8079.227461144687,0.0
2008-08-26,-34.862060546875,-1.4617546850212704,2,1,6.7,6.7,692.0,12.0,3603.9181437973243,0.0
2008-08-27,-1.735107421875,-0.07402707826569357,0,2,12.7,6.4,665.0,16.0,2671.6926597951915,0.0
2008-08-28,8.18701171875,0.34958007441529204,0,0,,,,,,
2008-08-29,36.322998046875,1.538428290229891,0,1,6.3,6.3,611.0,12.0,14494.034853381027,0.0
2008-09-01,-55.3330078125,-2.3244591989433867,1,3,18.4,6.4,635.0,11.0,1987.713472373325,0.0
2008-09-02,-7.2109375,-0.3118779942071957,0,0,,,,,,
2008-09-03,-25.268798828125,-1.097717088691502,0,0,,,,,,
2008-09-04,6.886962890625,0.3033204280485751,0,1,6.3,6.3,611.0,569.6,19339.54285334908,0.0
2008-09-05,-22.0810546875,-0.9926179227655808,0,0,,,,,,
2008-09-08,-66.923095703125,-3.027723100138741,1,1,6.2,6.2,591.0,36.0,7613.9937611673795,0.0
2008-09-09,-6.498046875,-0.3019149753616463,0,1,6.9,6.9,732.0,110.0,6936.4615187773825,0.0
2008-09-10,18.958984375,0.8893415864879998,0,0,,,,,,
2008-09-11,-64.4189453125,-3.005456202646068,1,4,26.099999999999998,6.8,711.0,9.0,2309.3203126977937,0.0
2008-09-12,2.123046875,0.10218992684183653,0,0,,,,,,
2008-09-16,-63.177001953125,-3.0820861373357946,1,0,,,,,,
2008-09-17,-42.89697265625,-2.175364681492358,0,0,,,,,,
2008-09-18,19.715087890625,1.050842558987002,0,1,6.0,6.0,554.0,11.0,14257.98310109357,0.0
2008-09-19,7.447998046875,0.36021681729720845,1,0,,,,,,
2008-09-22,-5.31298828125,-0.2370046842240939,0,0,,,,,,
2008-09-23,-7.612060546875,-0.34457401196477144,0,0,,,,,,
2008-09-24,83.713134765625,3.9244862952748196,0,1,6.4,6.4,630.0,12.0,12642.854940067333,0.0
2008-09-25,82.9169921875,3.744134012190142,0,1,6.0,6.0,554.0,4.0,3608.3529123709873,0.0
2008-09-26,-10.3349609375,-0.44854286613720695,0,0,,,,,,
2008-10-06,-93.656005859375,-4.130557110256366,0,4,25.8,7.0,754.0,10.0,4374.141648616618,0.0
2008-10-07,56.74609375,2.700789221383913,0,1,6.3,6.3,611.0,12.0,2981.24568716127,0.0
2008-10-08,-3.686767578125,-0.17590287822118286,0,0,,,,,,
2008-10-09,-50.98388671875,-2.3986018435798724,0,0,,,,,,
2008-10-10,4.614990234375,0.2312169130958089,0,0,,,,,,
2008-10-13,95.008056640625,4.801878832434908,0,2,12.3,6.2,785.0,23.0,14388.462436844147,0.0
2008-10-14,-121.743896484375,-5.691453967935117,1,0,,,,,,
2008-10-15,-1.218017578125,-0.06102644050961787,0,0,,,,,,
2008-10-16,-6.1920166015625,-0.3231517028581709,0,0,,,,,,
2008-10-17,8.8089599609375,0.45836024881016124,0,1,6.7,6.7,731.0,24.0,13801.944816782036,0.0
2008-10-20,49.8289794921875,2.5896255615574284,0,1,6.9,6.9,738.0,29.0,9062.754299668839,0.0
2008-10-21,-20.1448974609375,-1.0181009083860948,0,0,,,,,,
2008-10-22,-36.85498046875,-1.9069394643546278,0,0,,,,,,
2008-10-23,24.302001953125,1.312728338782319,0,1,6.4,6.4,632.0,233.4,8699.566423581706,0.0
2008-10-24,-36.010009765625,-1.9198877669357233,0,1,6.3,6.3,611.0,10.0,4534.5440931991325,0.0
2008-10-27,-85.87402343749977,-4.746453569694313,1,0,,,,,,
2008-10-28,100.425048828125,6.008453356525337,0,0,,,,,,
2008-10-29,-66.387939453125,-3.71671376485985,1,2,12.4,6.4,636.0,15.0,4632.240180875453,0.0
2008-10-30,30.8350830078125,1.7795234164910867,0,1,6.4,6.4,635.0,14.0,5109.972778183158,0.0
2008-10-31,-25.4200439453125,-1.4490911074777306,1,1,6.1,6.1,572.0,10.0,14337.464080335063,0.0
2008-11-03,6.0111083984375,0.3507549533283577,0,2,12.1,6.1,572.0,10.0,4798.458122741223,0.0
