Price,Open,Close,Volume,Ticker
Ticker,6752.T,6752.T,6752.T,
Date,,,,
2000-01-04,1981.9488136698578,1985.365966796875,9297000,6752.T
2000-01-05,1876.0175018861407,1893.103271484375,7155000,6752.T
2000-01-06,1896.5198412808504,1804.2567138671875,3906000,6752.T
2000-01-07,1858.9315538194444,1845.262939453125,6305000,6752.T
2000-01-10,1845.262939453125,1845.262939453125,0,6752.T
2000-01-11,1913.6058349609373,1913.6058349609375,7297000,6752.T
2000-01-12,1913.6058349609373,1913.6058349609375,8974000,6752.T
2000-01-13,1913.6061950022563,1893.103271484375,2906000,6752.T
2000-01-14,1913.6059879351267,1889.6859130859375,4502000,6752.T
2000-01-17,1940.9433125416297,1923.8575439453125,5069000,6752.T
2000-01-18,1920.4403430569557,1906.771728515625,3730000,6752.T
2000-01-19,1899.9373927054237,1835.011474609375,3098000,6752.T
2000-01-20,1858.930877908303,1872.5994873046875,2963000,6752.T
2000-01-21,1845.2624266239145,1869.1824951171875,3081000,6752.T
2000-01-24,1876.0175018861407,1893.103271484375,2635000,6752.T
2000-01-25,1869.1831160071943,1899.9375,5303000,6752.T
2000-01-26,1899.9367060974569,1872.5994873046875,3122000,6752.T
2000-01-27,1882.8515092206922,1855.5142822265625,2999000,6752.T
2000-01-28,1903.354621629732,1923.8575439453125,5810000,6752.T
2000-01-31,1913.6060900428383,1944.3604736328125,3786000,6752.T
2000-02-01,1951.1948137928157,1920.4404296875,3541000,6752.T
2000-02-02,1954.611733458297,1951.194580078125,8410000,6752.T
2000-02-03,1995.616838254767,2016.1197509765625,8591000,6752.T
2000-02-04,2050.2916212205764,2104.966064453125,19412000,6752.T
2000-02-07,2159.6406907301684,2132.303466796875,15610000,6752.T
2000-02-08,2152.8066216626216,2111.80078125,4976000,6752.T
2000-02-09,2139.137451171875,2139.137451171875,7283000,6752.T
2000-02-10,2104.9664745145633,2111.80078125,4493000,6752.T
2000-02-11,2111.80078125,2111.80078125,0,6752.T
2000-02-14,2084.463467178593,2098.132080078125,3651000,6752.T
2000-02-15,2091.297333984375,2050.29150390625,3940000,6752.T
2000-02-16,2043.4573781866777,2012.7030029296875,3436000,6752.T
2000-02-17,2029.7887861066838,2043.4573974609375,4375000,6752.T
2000-02-18,2040.0400390625,2040.0400390625,2751000,6752.T
2000-02-21,2002.4514793739188,1975.1142578125,3142000,6752.T
2000-02-22,1985.365715898032,1975.1142578125,2565000,6752.T
2000-02-23,1981.9493856837607,1999.03515625,3318000,6752.T
2000-02-24,2026.3720052352805,2063.960693359375,5138000,6752.T
2000-02-25,2084.463028971354,2050.29150390625,5591000,6752.T
2000-02-28,2050.2917601330446,2070.794677734375,4454000,6752.T
2000-02-29,2104.966116333008,2186.977783203125,9871000,6752.T
2000-03-01,2248.487043918102,2207.481201171875,9220000,6752.T
2000-03-02,2186.9784226190477,2152.806884765625,3586000,6752.T
2000-03-03,2139.1376827116937,2118.634765625,3026000,6752.T
2000-03-06,2152.8072050530045,2125.469970703125,3852000,6752.T
2000-03-07,2118.634765625,2118.634765625,3245000,6752.T
2000-03-08,2098.1328426051787,2022.9554443359375,5645000,6752.T
2000-03-09,2063.9603718672647,2070.794677734375,3253000,6752.T
2000-03-10,2104.966464971405,2091.2978515625,6989000,6752.T
2000-03-13,2098.1328426051787,2022.9554443359375,4609000,6752.T
2000-03-14,1995.6177978515627,1995.6177978515625,4586000,6752.T
2000-03-15,1968.2802011617898,1985.365966796875,3206000,6752.T
2000-03-16,1978.5324362677497,2022.9554443359375,3982000,6752.T
2000-03-17,2046.87453099301,2012.7030029296875,4956000,6752.T
2000-03-20,2012.7030029296877,2012.7030029296875,0,6752.T
2000-03-21,2012.7037727029915,1999.03515625,2513000,6752.T
2000-03-22,1988.7825340141683,2016.1197509765625,4125000,6752.T
2000-03-23,2036.6234338148586,1992.200439453125,2293000,6752.T
2000-03-24,1985.3657021689248,1954.611328125,2707000,6752.T
2000-03-27,1981.9488026494564,1964.863037109375,3316000,6752.T
2000-03-28,1986.266670486554,2013.6634521484375,2021000,6752.T
2000-03-29,1993.1157600328277,2102.702880859375,3925000,6752.T
2000-03-30,2102.7038314667257,2061.608642578125,2904000,6752.T
2000-03-31,2041.0601253944421,2102.702880859375,3172000,6752.T
2000-04-03,2075.3069615648283,2068.457763671875,3574000,6752.T
2000-04-04,2068.457456447934,2041.0606689453125,2515000,6752.T
2000-04-05,2013.664091796875,2054.75927734375,3138000,6752.T
2000-04-06,2047.910103551855,2030.787109375,2340000,6752.T
2000-04-07,2017.0885849774895,2020.51318359375,2289000,6752.T
2000-04-10,2030.7865261732013,2017.088134765625,2079000,6752.T
2000-04-11,2006.814751381398,2023.937744140625,2952000,6752.T
2000-04-12,1999.9655918961867,2020.51318359375,2701000,6752.T
2000-04-13,2003.3897880369404,1979.4176025390625,3470000,6752.T
2000-04-14,1934.8981554011152,1938.32275390625,3266000,6752.T
2000-04-17,1828.7343039441464,1835.58349609375,5972000,6752.T
2000-04-18,1862.9808956625684,1880.1038818359375,3121000,6752.T
2000-04-19,1866.4060240259187,1886.95361328125,4187000,6752.T
2000-04-20,1859.5560436877577,1869.829833984375,3348000,6752.T
2000-04-21,1886.9532886646411,1849.28271484375,4456000,6752.T
2000-04-24,1876.67959633079,1907.5009765625,3912000,6752.T
2000-04-25,1924.6236925008209,1955.445068359375,5072000,6752.T
2000-04-26,1979.417101732337,1969.143310546875,7104000,6752.T
2000-04-27,1986.267072830466,1965.719482421875,5239000,6752.T
2000-04-28,1952.0206776865714,1958.869873046875,3214000,6752.T
2000-05-01,1955.4458098847988,2020.51318359375,3531000,6752.T
2000-05-02,2013.663536913731,2017.088134765625,3309000,6752.T
2000-05-03,2017.088134765625,2017.088134765625,0,6752.T
2000-05-04,2017.088134765625,2017.088134765625,0,6752.T
2000-05-05,2017.088134765625,2017.088134765625,0,6752.T
2000-05-08,2030.7864618269282,2034.2110595703125,2642000,6752.T
2000-05-09,2034.2110595703125,2034.2110595703125,0,6752.T
2000-05-10,2013.6634731100062,2034.2110595703125,3383000,6752.T
2000-05-11,1897.2270815248842,1849.28271484375,10226000,6752.T
2000-05-12,1883.52880859375,1883.52880859375,4134000,6752.T
2000-05-15,1883.5294438989122,1859.5572509765625,2107000,6752.T
2000-05-16,1862.9813328382083,1873.255126953125,2770000,6752.T
2000-05-17,1883.5286910445602,1849.28271484375,2656000,6752.T
2000-05-18,1835.5841563831677,1808.1873779296875,2650000,6752.T
2000-05-19,1780.7909488677979,1753.3941650390625,4272000,6752.T
2000-05-22,1719.148193359375,1719.148193359375,3339000,6752.T
2000-05-23,1719.1484036192603,1678.05322265625,3118000,6752.T
2000-05-24,1664.3550472758425,1702.025634765625,3553000,6752.T
2000-05-25,1725.9976004464288,1678.05322265625,2779000,6752.T
2000-05-26,1681.4778423427795,1654.0810546875,2819000,6752.T
2000-05-29,1671.204050679484,1708.8746337890625,1637000,6752.T
2000-05-30,1708.8746337890625,1708.8746337890625,0,6752.T
2000-05-31,1773.9417429626105,1743.120361328125,3231000,6752.T
2000-06-01,1749.969772963496,1756.8189697265625,2010000,6752.T
2000-06-02,1780.7906494140625,1780.7906494140625,2333000,6752.T
2000-06-05,1832.1595458984373,1832.1595458984375,3018000,6752.T
2000-06-06,1835.5846231790415,1821.88623046875,1804000,6752.T
2000-06-07,1818.4622120368413,1770.517822265625,2808000,6752.T
2000-06-08,1780.791034190827,1801.338623046875,1616000,6752.T
2000-06-09,1791.0648468705945,1821.88623046875,4502000,6752.T
2000-06-12,1815.03720684381,1784.2158203125,1945000,6752.T
2000-06-13,1784.2157244988207,1815.037109375,2483000,6752.T
2000-06-14,1832.1595590764828,1808.1873779296875,2162000,6752.T
2000-06-15,1784.2158886813377,1767.0928955078125,1753000,6752.T
2000-06-16,1770.5170482673266,1729.421875,2314000,6752.T
2000-06-19,1746.544675386869,1780.7906494140625,1569000,6752.T
2000-06-20,1794.489113590432,1773.9415283203125,1829000,6752.T
2000-06-21,1770.5161706725162,1835.58349609375,3853000,6752.T
2000-06-22,1835.5846992924528,1815.037109375,2591000,6752.T
2000-06-23,1787.6400146484375,1787.6400146484375,3350000,6752.T
2000-06-26,1780.791052337876,1821.88623046875,1885000,6752.T
2000-06-27,1849.282421693483,1842.4332275390625,2682000,6752.T
2000-06-28,1849.28271484375,1849.28271484375,3388000,6752.T
2000-06-29,1835.5846040120593,1845.8583984375,2339000,6752.T
2000-06-30,1845.858232421875,1883.52880859375,4714000,6752.T
2000-07-03,1900.6520419349465,1928.048828125,4108000,6752.T
2000-07-04,1945.171142578125,1945.171142578125,4693000,6752.T
2000-07-05,1934.898163539035,1948.5965576171875,4203000,6752.T
2000-07-06,1904.0765474759617,1914.350341796875,3406000,6752.T
2000-07-07,1917.77503330373,1928.048828125,2067000,6752.T
2000-07-10,1948.5965494216541,1938.32275390625,2451000,6752.T
2000-07-11,1934.8978645919908,1931.4732666015625,2108000,6752.T
2000-07-12,1958.869519361413,1969.143310546875,5872000,6752.T
2000-07-13,1986.2671195136177,1972.5687255859375,4649000,6752.T
2000-07-14,1945.1719509165193,1938.32275390625,3185000,6752.T
2000-07-17,1910.9257436899038,1914.350341796875,2633000,6752.T
2000-07-18,1910.9255429010323,1876.6795654296875,3238000,6752.T
2000-07-19,1910.9255429010323,1876.6795654296875,3238000,6752.T
2000-07-20,1876.6795654296875,1876.6795654296875,0,6752.T
2000-07-21,1893.8025435421443,1866.40576171875,2685000,6752.T
2000-07-24,1849.2826488597973,1900.651611328125,2091000,6752.T
2000-07-25,1866.4056941441129,1917.774658203125,4033000,6752.T
2000-07-26,1931.47309160566,1958.869873046875,7267000,6752.T
2000-07-27,1952.0206776865714,1958.869873046875,4896000,6752.T
2000-07-28,1924.6245500153186,1921.199951171875,3767000,6752.T
2000-07-31,1890.378155048077,1914.350341796875,2809000,6752.T
2000-08-01,1917.775231531629,1975.993408203125,6233000,6752.T
2000-08-02,1962.2940673828123,1962.2940673828125,3778000,6752.T
2000-08-03,1952.021147926789,1938.32275390625,2632000,6752.T
2000-08-04,1938.3224428238407,1910.9256591796875,4307000,6752.T
2000-08-07,1910.9264147306742,1952.0216064453125,2588000,6752.T
2000-08-08,1952.020471041758,1955.445068359375,4167000,6752.T
2000-08-09,1938.3219484141175,1945.171142578125,2388000,6752.T
2000-08-10,1952.0211346944172,1972.5687255859375,5520000,6752.T
2000-08-11,1972.5683795103091,1993.115966796875,6813000,6752.T
2000-08-14,2006.8143412099425,2017.088134765625,4627000,6752.T
2000-08-15,2037.6360705074849,2041.0606689453125,5189000,6752.T
2000-08-16,2047.90945054385,2034.2110595703125,3746000,6752.T
2000-08-17,2023.9376045422675,2003.3900146484375,3391000,6752.T
2000-08-18,1986.2667983955992,1979.4176025390625,2198000,6752.T
2000-08-21,1975.9928457098715,1982.842041015625,2126000,6752.T
2000-08-22,1989.6912889063158,2034.2110595703125,3705000,6752.T
2000-08-23,2027.3623648865582,1999.965576171875,2479000,6752.T
2000-08-24,1993.1159498023662,2017.088134765625,2710000,6752.T
2000-08-25,2013.6639705292166,1999.965576171875,3262000,6752.T
2000-08-28,2003.3897633272059,2037.6357421875,4791000,6752.T
2000-08-29,2047.909865820968,2041.0606689453125,4072000,6752.T
2000-08-30,2023.9373756065502,1979.4176025390625,4168000,6752.T
2000-08-31,1982.842583225198,1999.965576171875,4049000,6752.T
2000-09-01,2003.3892310976357,1962.2940673828125,5958000,6752.T
2000-09-04,1945.1721430759803,1921.199951171875,3934000,6752.T
2000-09-05,1904.0767015970941,1856.13232421875,7528000,6752.T
2000-09-06,1856.1320259232955,1883.52880859375,4921000,6752.T
2000-09-07,1880.104152630447,1866.40576171875,2361000,6752.T
2000-09-08,1876.6797068902301,1897.227294921875,6230000,6752.T
2000-09-11,1897.226681877585,1862.980712890625,3191000,6752.T
2000-09-12,1869.829906688017,1862.980712890625,3441000,6752.T
2000-09-13,1862.9818499654696,1859.5572509765625,3013000,6752.T
2000-09-14,1859.5562984278945,1880.1038818359375,3156000,6752.T
2000-09-15,1880.1038818359377,1880.1038818359375,0,6752.T
2000-09-18,1883.5286821637835,1917.774658203125,2824000,6752.T
2000-09-19,1890.3783175903748,1965.719482421875,4377000,6752.T
2000-09-20,1955.445259792611,1982.842041015625,4263000,6752.T
2000-09-21,1975.993051673626,1986.266845703125,4647000,6752.T
2000-09-22,1917.7753523284314,1921.199951171875,3137000,6752.T
2000-09-25,1975.9932988350142,1941.747314453125,2336000,6752.T
2000-09-26,1952.901544665614,1935.74072265625,3370000,6752.T
2000-09-27,1922.0121562780016,1915.1478271484375,4253000,6752.T
2000-09-28,1942.6050514599956,1935.74072265625,4101000,6752.T
2000-09-29,1956.3336375745362,1942.60498046875,3872000,6752.T
2000-10-02,1956.3336275220931,2014.680419921875,5376000,6752.T
2000-10-03,2007.8159842179648,2049.001953125,6334000,6752.T
2000-10-04,2055.8667912717724,2093.62060546875,12609000,6752.T
2000-10-05,2127.942310590836,2134.806640625,13572000,6752.T
2000-10-06,2114.213623046875,2114.213623046875,9166000,6752.T
2000-10-09,2114.213623046875,2114.213623046875,0,6752.T
2000-10-10,2086.755686560935,2055.8662109375,4537000,6752.T
2000-10-11,2024.9769160829742,1990.6552734375,6094000,6752.T
2000-10-12,1987.2231091729525,1990.6552734375,6807000,6752.T
2000-10-13,1966.629948025355,2055.8662109375,4939000,6752.T
2000-10-16,2055.8662109375,2055.8662109375,0,6752.T
2000-10-17,2107.348812065251,2066.162841796875,4317000,6752.T
2000-10-18,2045.5699267578125,2059.298583984375,6581000,6752.T
2000-10-19,2079.89208984375,2079.89208984375,5586000,6752.T
2000-10-20,2107.349221436337,2121.077880859375,6105000,6752.T
2000-10-23,2107.349265176742,2093.62060546875,4569000,6752.T
2000-10-24,2073.0271701749375,2066.162841796875,4028000,6752.T
2000-10-25,2059.299098855198,2079.89208984375,5685000,6752.T
2000-10-26,2055.8662812761727,2049.001953125,4586000,6752.T
2000-10-27,2049.001953125,2049.001953125,0,6752.T
2000-10-30,2079.8918744255516,2100.48486328125,5476000,6752.T
2000-10-31,2162.2640153662264,2175.99267578125,16276000,6752.T
2000-11-01,2162.2637018167748,2182.856689453125,10098000,6752.T
2000-11-02,2148.5349430132514,2169.1279296875,4680000,6752.T
2000-11-03,2169.1279296875,2169.1279296875,0,6752.T
2000-11-06,2141.6706845238095,2162.263671875,5879000,6752.T
2000-11-07,2141.670768017101,2107.34912109375,5294000,6752.T
2000-11-08,2121.077697172619,2162.263671875,5508000,6752.T
2000-11-09,2134.8066128817472,2114.213623046875,3748000,6752.T
2000-11-10,2093.620660420016,2134.806640625,3541000,6752.T
