Price,Open,Close,Volume,Ticker
Ticker,4188.T,4188.T,4188.T,
Date,,,,
2000-01-04,428.7152152683424,410.8520812988281,494000,4188.T
2000-01-05,404.89769192690346,431.0969543457031,1259500,4188.T
2000-01-06,452.53251039265285,435.8602600097656,1396000,4188.T
2000-01-07,451.3418444398038,477.5411071777344,2131000,4188.T
2000-01-10,477.54110717773443,477.5411071777344,0,4188.T
2000-01-11,483.4955934336487,507.3131103515625,2668500,4188.T
2000-01-12,495.4042594946172,497.7860107421875,2647000,4188.T
2000-01-13,509.6949417481537,544.2303466796875,3314000,4188.T
2000-01-14,541.848297797309,535.8939208984375,2263000,4188.T
2000-01-17,533.5122124445676,537.0848388671875,1871000,4188.T
2000-01-18,535.8939766083788,532.3213500976562,1297000,4188.T
2000-01-19,520.4125423084606,523.9851684570312,968000,4188.T
2000-01-20,522.7943002467343,515.6490478515625,1311500,4188.T
2000-01-21,503.7402467568336,498.97674560546875,967500,4188.T
2000-01-24,504.9311747419725,519.2216796875,1114000,4188.T
2000-01-25,509.69460449218747,494.2132263183594,783500,4188.T
2000-01-26,506.1220703125,506.1220703125,979000,4188.T
2000-01-27,500.16762712876573,496.5950012207031,548500,4188.T
2000-01-28,496.59506329286444,490.64068603515625,709000,4188.T
2000-01-31,496.595035996548,512.076416015625,839500,4188.T
2000-02-01,506.12209154211956,547.802734375,2311000,4188.T
2000-02-02,541.8484545075491,529.939697265625,1509500,4188.T
2000-02-03,535.8939766083788,532.3213500976562,830500,4188.T
2000-02-04,535.8938786326345,522.7942504882812,877000,4188.T
2000-02-07,510.8855655857774,508.5038146972656,1020000,4188.T
2000-02-08,514.4581963900862,518.0308227539062,923500,4188.T
2000-02-09,521.603529407132,516.8400268554688,676500,4188.T
2000-02-10,510.88554062954216,512.076416015625,1226500,4188.T
2000-02-11,512.076416015625,512.076416015625,0,4188.T
2000-02-14,493.0223762170592,478.73187255859375,1546000,4188.T
2000-02-15,481.1137859868069,485.8772888183594,1438000,4188.T
2000-02-16,491.831552216501,510.88555908203125,1737500,4188.T
2000-02-17,512.0764476102942,506.1220703125,2167500,4188.T
2000-02-18,504.93118477789096,493.0224304199219,1246500,4188.T
2000-02-21,483.4955956595285,466.8233337402344,1226500,4188.T
2000-02-22,464.4416042189524,459.6781005859375,1127500,4188.T
2000-02-23,450.1509103238103,444.196533203125,2519500,4188.T
2000-02-24,445.387468126085,428.7152099609375,1576500,4188.T
2000-02-25,434.66940624682934,458.4869079589844,1351000,4188.T
2000-02-28,447.76912280933277,440.6238708496094,721000,4188.T
2000-02-29,444.19650220114085,450.15087890625,1167500,4188.T
2000-03-01,456.10538416584643,453.7236328125,1423000,4188.T
2000-03-02,452.5327096630471,448.9600830078125,1845500,4188.T
2000-03-03,460.868745226951,437.0512390136719,2018500,4188.T
2000-03-06,443.00561556699165,437.0512390136719,962000,4188.T
2000-03-07,443.0057654747596,433.478759765625,2903000,4188.T
2000-03-08,451.34182456832923,463.2505798339844,1869500,4188.T
2000-03-09,458.48700074891786,440.6238708496094,1109500,4188.T
2000-03-10,446.57846559514655,459.6781005859375,2817500,4188.T
2000-03-13,462.0596371233616,465.63226318359375,1990500,4188.T
2000-03-14,476.3502831552543,485.8772888183594,2295000,4188.T
2000-03-15,462.05974158945014,460.8688659667969,1222000,4188.T
2000-03-16,466.82324713212023,470.3958740234375,601000,4188.T
2000-03-17,476.35012194884945,478.73187255859375,755500,4188.T
2000-03-20,478.7318725585937,478.73187255859375,0,4188.T
2000-03-21,476.3502167492378,488.25897216796875,861000,4188.T
2000-03-22,487.06809662609567,488.25897216796875,1208500,4188.T
2000-03-23,482.30449847321006,478.73187255859375,670500,4188.T
2000-03-24,482.3045451824481,495.4041748046875,1545000,4188.T
2000-03-27,500.16777182525055,504.9312744140625,942000,4188.T
2000-03-28,498.97680479107487,510.88555908203125,681000,4188.T
2000-03-29,501.3585446044344,503.74029541015625,756500,4188.T
2000-03-30,497.7859150450907,482.3045349121094,629500,4188.T
2000-03-31,487.068115234375,487.068115234375,700000,4188.T
2000-04-03,493.0224085027521,523.9851684570312,2062000,4188.T
2000-04-04,540.657608136978,520.4127197265625,3455500,4188.T
2000-04-05,532.321586358469,544.2303466796875,3186000,4188.T
2000-04-06,544.2301241613825,531.1304931640625,811000,4188.T
2000-04-07,546.6118007313122,523.9851684570312,1609000,4188.T
2000-04-10,518.0307915427468,523.9851684570312,2732500,4188.T
2000-04-11,523.9851954725922,508.5038146972656,986500,4188.T
