Price,Open,Close,Volume,Ticker
Ticker,1928.T,1928.T,1928.T,
Date,,,,
2000-01-04,448.3352066589905,444.82867431640625,716000,1928.T
2000-01-05,444.82876856890397,447.33343505859375,814000,1928.T
2000-01-06,450.83999378055165,448.3353271484375,622000,1928.T
2000-01-07,453.84550232135473,454.346435546875,758000,1928.T
2000-01-10,454.346435546875,454.346435546875,0,1928.T
2000-01-11,456.85119628906244,450.8399963378906,1594000,1928.T
2000-01-12,451.3408223005022,438.3165588378906,1028000,1928.T
2000-01-13,444.32770335779776,452.84356689453125,777000,1928.T
2000-01-14,467.8716302444442,467.3706970214844,897000,1928.T
2000-01-17,475.88661201484683,500.4323425292969,2977000,1928.T
2000-01-18,505.44160386881344,502.4360046386719,2173000,1928.T
2000-01-19,500.93313014897177,505.4415283203125,1590000,1928.T
2000-01-20,500.93334201824223,499.4305419921875,883000,1928.T
2000-01-21,524.4769564863565,518.4657592773438,2020000,1928.T
2000-01-24,533.4937944684709,525.9797973632812,1842000,1928.T
2000-01-25,535.99853515625,535.99853515625,1820000,1928.T
2000-01-26,525.8948866489956,530.4415283203125,1334000,1928.T
2000-01-27,515.2860205078125,505.182373046875,844000,1928.T
2000-01-28,515.2859560838386,507.7082214355469,730000,1928.T
2000-01-31,492.55285263061523,525.3897094726562,815000,1928.T
2000-02-01,502.6566327281834,490.0270690917969,1348000,1928.T
2000-02-02,489.016509156586,469.819580078125,2462000,1928.T
2000-02-03,469.8197631198827,483.9648742675781,1584000,1928.T
2000-02-04,481.4388316061218,480.428466796875,724000,1928.T
2000-02-07,479.92336486237565,479.4181823730469,717000,1928.T
2000-02-08,478.9129444644326,479.9233093261719,1085000,1928.T
2000-02-09,481.43901154585956,482.9545593261719,843000,1928.T
2000-02-10,479.92326900055565,465.2729797363281,1038000,1928.T
2000-02-11,465.2729797363282,465.2729797363281,0,1928.T
2000-02-14,470.32476242229495,469.819580078125,878000,1928.T
2000-02-15,462.24193775073905,467.29376220703125,1657000,1928.T
2000-02-16,436.98289491482024,444.0554504394531,1579000,1928.T
2000-02-17,439.5087417220201,443.5502014160156,2325000,1928.T
2000-02-18,453.65383363560267,442.0346374511719,1156000,1928.T
2000-02-21,429.91026754506123,417.785888671875,2116000,1928.T
2000-02-22,417.7859529369939,415.2600402832031,1774000,1928.T
2000-02-23,414.24963537252177,428.3947448730469,1232000,1928.T
2000-02-24,423.34283948520533,418.291015625,508000,1928.T
2000-02-25,416.27043898863474,435.4673767089844,1291000,1928.T
2000-02-28,436.98289705265717,447.0865478515625,1360000,1928.T
2000-02-29,442.0347353307213,414.24969482421875,1118000,1928.T
2000-03-01,424.35323250393907,420.81695556640625,1582000,1928.T
2000-03-02,424.3533459174924,414.24969482421875,709000,1928.T
2000-03-03,411.72360229492193,411.7236022949219,1501000,1928.T
2000-03-06,409.1976680355801,409.7028503417969,1270000,1928.T
2000-03-07,414.2495949754437,416.27032470703125,934000,1928.T
2000-03-08,414.2496333483754,419.806640625,1190000,1928.T
2000-03-09,424.85849076236593,419.3014831542969,925000,1928.T
2000-03-10,419.3013803970411,418.291015625,2616000,1928.T
2000-03-13,423.3429200514308,428.3947448730469,1739000,1928.T
2000-03-14,416.7755944388253,410.2082214355469,1903000,1928.T
2000-03-15,414.2496817452567,410.2082214355469,1015000,1928.T
2000-03-16,406.6718478162749,420.81695556640625,1769000,1928.T
2000-03-17,424.3532492897727,427.8895263671875,1036000,1928.T
2000-03-20,427.88952636718744,427.8895263671875,0,1928.T
2000-03-21,429.91024241519443,434.9620666503906,1051000,1928.T
2000-03-22,434.9619989294045,428.8998107910156,966000,1928.T
2000-03-23,430.92060726223366,434.9620666503906,1180000,1928.T
2000-03-24,445.06564521379363,469.819580078125,3289000,1928.T
2000-03-27,484.97522518860563,485.48040771484375,1789000,1928.T
2000-03-28,487.5010600322002,467.29376220703125,1300000,1928.T
2000-03-29,473.3558823281146,474.8714294433594,969000,1928.T
2000-03-30,469.81962179421356,470.8299865722656,1560000,1928.T
2000-03-31,485.9856033568428,475.37677001953125,1912000,1928.T
2000-04-03,501.140900801513,525.8948364257812,5299000,1928.T
