Price,Open,Close,Volume,Ticker
Ticker,4503.T,4503.T,4503.T,
Date,,,,
2000-01-04,406.5680330785488,388.34649658203125,3365000,4503.T
2000-01-05,398.5964400992209,412.2626037597656,9560000,4503.T
2000-01-06,468.06589596942786,469.2047424316406,7810000,4503.T
2000-01-07,497.6760188946439,513.619873046875,20005000,4503.T
2000-01-10,513.619873046875,513.619873046875,0,4503.T
2000-01-11,496.53704473382794,520.4528198242188,9260000,4503.T
2000-01-12,537.5355932370582,563.7290649414062,18260000,4503.T
2000-01-13,575.1176065111916,573.978759765625,14655000,4503.T
2000-01-14,585.3671928785769,594.4779663085938,16900000,4503.T
2000-01-17,572.839809991076,568.284423828125,6690000,4503.T
2000-01-18,567.1453864673578,575.1173095703125,5205000,4503.T
2000-01-19,573.9785862198795,567.1455078125,4570000,4503.T
2000-01-20,569.4231485583119,552.3404541015625,4245000,4503.T
2000-01-21,569.4233613855698,580.8118286132812,6215000,4503.T
2000-01-24,575.1175030725514,568.284423828125,4785000,4503.T
2000-01-25,552.3405174692725,536.3966674804688,6095000,4503.T
2000-01-26,535.2578234516035,520.4528198242188,7225000,4503.T
2000-01-27,522.730576171875,512.48095703125,3810000,4503.T
2000-01-28,520.4528685224817,535.2578735351562,5385000,4503.T
2000-01-31,532.9801804562832,535.2578735351562,2905000,4503.T
2000-02-01,535.2577257057237,547.7850341796875,4555000,4503.T
2000-02-02,553.4794973767238,562.5902709960938,3975000,4503.T
2000-02-03,569.4231977811897,591.061279296875,8060000,4503.T
2000-02-04,613.838267027549,607.0051879882812,12380000,4503.T
2000-02-07,607.0053253173828,592.2003173828125,6940000,4503.T
2000-02-08,584.228324174881,583.0894775390625,3840000,4503.T
2000-02-09,592.200278228184,603.5887451171875,3410000,4503.T
2000-02-10,592.2002925909696,588.7837524414062,5110000,4503.T
2000-02-11,588.7837524414062,588.7837524414062,0,4503.T
2000-02-14,600.1719272163884,599.0330810546875,3790000,4503.T
2000-02-15,587.6448175646293,593.3390502929688,3365000,4503.T
2000-02-16,581.9505667550224,558.0347900390625,5660000,4503.T
2000-02-17,552.3405867479042,545.5075073242188,7385000,4503.T
2000-02-18,540.9520531915556,536.3966674804688,4990000,4503.T
2000-02-21,536.3965803608141,540.9519653320312,7365000,4503.T
2000-02-22,531.8413696289062,531.8413696289062,6335000,4503.T
2000-02-23,537.5355771821121,561.4513549804688,4385000,4503.T
2000-02-24,558.0347658793131,546.6463012695312,2840000,4503.T
2000-02-25,548.9240649850894,572.83984375,3580000,4503.T
2000-02-28,562.5900275763564,578.5338745117188,4455000,4503.T
2000-02-29,580.8117710658482,597.8944702148438,3745000,4503.T
2000-03-01,575.1176159198467,592.2003173828125,3990000,4503.T
2000-03-02,572.8395653524889,576.256103515625,1485000,4503.T
2000-03-03,576.256276154564,591.061279296875,2615000,4503.T
2000-03-06,597.8944260888579,600.172119140625,3935000,4503.T
2000-03-07,602.449898428287,603.5887451171875,3425000,4503.T
2000-03-08,614.9769630213312,595.6165771484375,6545000,4503.T
2000-03-09,600.1721256434361,609.2828979492188,3300000,4503.T
2000-03-10,632.0598093668619,614.9771118164062,12180000,4503.T
2000-03-13,613.8381779614617,619.5324096679688,4945000,4503.T
2000-03-14,597.8945116726857,603.5887451171875,4040000,4503.T
2000-03-15,586.5060953221896,585.3672485351562,2745000,4503.T
2000-03-16,587.6446707589286,589.92236328125,5020000,4503.T
2000-03-17,592.2003173828125,592.2003173828125,5640000,4503.T
2000-03-20,592.2003173828125,592.2003173828125,0,4503.T
2000-03-21,593.3391641470101,592.2003173828125,3580000,4503.T
2000-03-22,592.2003173828125,592.2003173828125,4595000,4503.T
2000-03-23,602.4497572557514,617.2547607421875,5545000,4503.T
2000-03-24,616.115886252267,637.7539672851562,5665000,4503.T
2000-03-27,653.697984113807,668.5029907226562,8025000,4503.T
2000-03-28,650.8056445065477,677.0662231445312,3980000,4503.T
2000-03-29,667.9318502674932,682.7747802734375,4225000,4503.T
2000-03-30,648.5220729518581,633.6791381835938,5845000,4503.T
2000-03-31,637.1042699847782,641.6713256835938,2990000,4503.T
2000-04-03,643.9549222729202,672.4990234375,2755000,4503.T
2000-04-04,674.7825362705948,691.9089965820312,4590000,4503.T
2000-04-05,690.7671271997152,682.7747802734375,7150000,4503.T
2000-04-06,671.3573208370724,675.9243774414062,4135000,4503.T
2000-04-07,680.4913479767109,661.0813598632812,4745000,4503.T
2000-04-10,649.6638179280311,646.238525390625,4620000,4503.T
2000-04-11,657.6563320928196,651.947509765625,3215000,4503.T
2000-04-12,663.3649717794882,675.9243774414062,5355000,4503.T
2000-04-13,657.6561489762931,662.2232055664062,6220000,4503.T
2000-04-14,651.9473887368681,669.0738525390625,6175000,4503.T
2000-04-17,623.4032585991754,616.5526733398438,6140000,4503.T
2000-04-18,627.9704198297464,605.1351318359375,6330000,4503.T
2000-04-19,582.2996503978857,614.26904296875,7275000,4503.T
2000-04-20,632.5373543875559,639.387939453125,7950000,4503.T
2000-04-21,645.0967982365536,593.7174072265625,13270000,4503.T
2000-04-24,639.3879039797009,667.9320068359375,7465000,4503.T
2000-04-25,645.096882640065,653.0892333984375,4825000,4503.T
2000-04-26,664.5065275828043,657.6559448242188,6975000,4503.T
2000-04-27,662.2232264688571,666.790283203125,7635000,4503.T
2000-04-28,672.4992701435257,651.947509765625,3370000,4503.T
2000-05-01,645.0966822394926,655.37255859375,4600000,4503.T
2000-05-02,655.3725977768132,647.3802490234375,2295000,4503.T
2000-05-03,647.3802490234375,647.3802490234375,0,4503.T
2000-05-04,647.3802490234375,647.3802490234375,0,4503.T
2000-05-05,647.3802490234375,647.3802490234375,0,4503.T
2000-05-08,663.3649717794882,675.9243774414062,4245000,4503.T
2000-05-09,675.9243774414062,675.9243774414062,0,4503.T
2000-05-10,685.0585733709829,683.9168090820312,4480000,4503.T
2000-05-11,681.6331762069311,667.9320068359375,3605000,4503.T
2000-05-12,667.9320092896121,681.6331787109375,7495000,4503.T
2000-05-15,681.633280504128,683.9168090820312,2595000,4503.T
2000-05-16,683.9166493282725,695.3342895507812,3375000,4503.T
2000-05-17,690.7672891209269,667.9320068359375,2700000,4503.T
2000-05-18,656.5143848287648,662.2232055664062,3730000,4503.T
2000-05-19,633.6791185651507,639.387939453125,5410000,4503.T
2000-05-22,582.2997436523438,582.2997436523438,9990000,4503.T
2000-05-23,593.7175060453869,623.4033813476562,8565000,4503.T
2000-05-24,605.1350277171416,582.2997436523438,5970000,4503.T
2000-05-25,603.9932670310692,616.5526733398438,8420000,4503.T
2000-05-26,616.5525033050012,597.1425170898438,3090000,4503.T
2000-05-29,585.7250555715253,566.3150634765625,4855000,4503.T
2000-05-30,566.3150634765625,566.3150634765625,0,4503.T
2000-05-31,570.8820785864308,560.606201171875,2595000,4503.T
2000-06-01,565.1733778467718,605.1351318359375,3985000,4503.T
2000-06-02,611.985612936581,582.2997436523438,4050000,4503.T
2000-06-05,593.7171695106908,607.4183349609375,3960000,4503.T
2000-06-06,607.4183765654261,609.701904296875,2475000,4503.T
2000-06-07,627.9701850090092,663.3648681640625,11650000,4503.T
2000-06-08,682.7749628660058,679.3496704101562,12065000,4503.T
2000-06-09,656.5143625359786,650.8055419921875,10185000,4503.T
2000-06-12,639.3877784242021,643.954833984375,4465000,4503.T
2000-06-13,647.3802527794471,667.9320068359375,3390000,4503.T
2000-06-14,679.3496077169991,672.4990234375,4130000,4503.T
2000-06-15,653.0892746616416,648.522216796875,3965000,4503.T
2000-06-16,659.9395027022929,632.5371704101562,4245000,4503.T
2000-06-19,643.9549339198552,635.9625854492188,3955000,4503.T
2000-06-20,650.8055419921875,650.8055419921875,2650000,4503.T
2000-06-21,656.5144059605249,670.215576171875,4090000,4503.T
2000-06-22,673.6407874840831,672.4990234375,3960000,4503.T
2000-06-23,649.6637383969403,655.37255859375,3805000,4503.T
2000-06-26,662.2232272907839,673.640869140625,3500000,4503.T
2000-06-27,664.5067144931892,667.9320068359375,3765000,4503.T
2000-06-28,672.4988741344876,657.6559448242188,3225000,4503.T
2000-06-29,651.947509765625,651.947509765625,3380000,4503.T
2000-06-30,661.0813598632812,661.0813598632812,2185000,4503.T
2000-07-03,661.0813608071238,664.5066528320312,6575000,4503.T
2000-07-04,673.6409302787073,677.0662231445312,5500000,4503.T
2000-07-05,670.2154322210348,665.6483764648438,2245000,4503.T
2000-07-06,672.4989056539376,682.7747802734375,5205000,4503.T
2000-07-07,679.3497301759505,658.7979736328125,4780000,4503.T
2000-07-10,654.2309166232262,658.7979736328125,5215000,4503.T
2000-07-11,670.2155571945575,679.3496704101562,6210000,4503.T
2000-07-12,677.0660358369864,663.3648681640625,2605000,4503.T
2000-07-13,673.640763936677,661.0813598632812,2510000,4503.T
2000-07-14,650.8054032375244,659.9395141601562,5775000,4503.T
2000-07-17,637.1042699847782,641.6713256835938,3160000,4503.T
2000-07-18,618.836141175328,619.9779052734375,6230000,4503.T
2000-07-19,618.836141175328,619.9779052734375,6230000,4503.T
2000-07-20,619.9779052734375,619.9779052734375,0,4503.T
2000-07-21,611.9856358547968,603.9932861328125,3245000,4503.T
2000-07-24,596.0008794864746,624.5449829101562,4565000,4503.T
2000-07-25,597.1427810381043,605.1351318359375,4840000,4503.T
2000-07-26,605.1348656483929,600.5678100585938,3860000,4503.T
2000-07-27,603.9931004598993,597.1425170898438,6310000,4503.T
2000-07-28,588.0085646685433,582.2997436523438,3085000,4503.T
2000-07-31,572.023886120273,586.8668212890625,3405000,4503.T
2000-08-01,590.2921151808395,603.9932861328125,3855000,4503.T
2000-08-02,592.5756214815028,582.2997436523438,4805000,4503.T
2000-08-03,576.590920804727,565.1732788085938,5795000,4503.T
2000-08-04,574.3072759347369,589.1502075195312,5360000,4503.T
2000-08-07,600.5679535427415,608.560302734375,2875000,4503.T
2000-08-08,616.5527556251511,590.2921752929688,2840000,4503.T
2000-08-09,606.2768962356279,605.1351318359375,2130000,4503.T
2000-08-10,593.7174683797751,590.2921752929688,1805000,4503.T
2000-08-11,577.7326674378033,588.008544921875,4545000,4503.T
2000-08-14,588.0085646685433,582.2997436523438,2320000,4503.T
2000-08-15,582.2995971679687,570.8819580078125,2845000,4503.T
2000-08-16,570.8820396316742,572.0238037109375,2370000,4503.T
2000-08-17,574.3073927791243,568.5985717773438,3280000,4503.T
2000-08-18,573.165610778216,588.008544921875,2635000,4503.T
2000-08-21,588.0083994227131,580.0160522460938,1625000,4503.T
2000-08-22,580.0162760416667,596.0009765625,2535000,4503.T
2000-08-23,596.0009140912225,582.2997436523438,3175000,4503.T
2000-08-24,582.2997654588552,603.9932861328125,5525000,4503.T
2000-08-25,610.8436681625996,609.701904296875,3605000,4503.T
2000-08-28,600.5678100585936,600.5678100585938,3050000,4503.T
2000-08-29,592.5755004882812,592.5755004882812,2430000,4503.T
2000-08-30,592.5756429818961,593.7174072265625,2635000,4503.T
2000-08-31,605.1351524121833,602.8516235351562,2600000,4503.T
2000-09-01,606.2767725265415,594.859130859375,4800000,4503.T
2000-09-04,584.5832085828343,572.0238037109375,3010000,4503.T
2000-09-05,568.5986949710027,558.3228149414062,4065000,4503.T
2000-09-06,558.3224661330546,552.6136474609375,4300000,4503.T
2000-09-07,552.6138505737811,550.330322265625,2380000,4503.T
2000-09-08,550.3301471426213,567.4566040039062,10930000,4503.T
2000-09-11,566.3150198982255,546.905029296875,3705000,4503.T
2000-09-12,546.9050497690837,548.0468139648438,3695000,4503.T
2000-09-13,549.188458101249,554.8972778320312,2695000,4503.T
2000-09-14,552.613808429966,544.6214599609375,3170000,4503.T
2000-09-15,544.6214599609375,544.6214599609375,0,4503.T
2000-09-18,542.3378895905058,538.91259765625,2020000,4503.T
2000-09-19,527.4950371924867,536.629150390625,2165000,4503.T
2000-09-20,530.9203286006533,529.778564453125,4930000,4503.T
2000-09-21,535.4872803532221,524.0696411132812,3510000,4503.T
2000-09-22,524.0697082140431,551.4720458984375,5545000,4503.T
2000-09-25,574.3072391896585,597.1425170898438,9510000,4503.T
2000-09-26,592.5669550969051,594.8548583984375,2485000,4503.T
2000-09-27,584.5591138350095,597.142578125,3925000,4503.T
2000-09-28,593.7108156667172,589.135009765625,4885000,4503.T
2000-09-29,612.0141331599309,594.8548583984375,5430000,4503.T
2000-10-02,606.2941021000573,623.453369140625,4985000,4503.T
2000-10-03,628.0292055442117,629.1731567382812,3970000,4503.T
2000-10-04,626.8851915247301,622.3093872070312,2185000,4503.T
2000-10-05,622.3095703125,617.7337646484375,3095000,4503.T
2000-10-06,612.0139468735479,615.44580078125,2805000,4503.T
2000-10-09,615.44580078125,615.44580078125,0,4503.T
2000-10-10,604.0064390359167,605.150390625,3110000,4503.T
2000-10-11,593.7107242277299,597.142578125,3510000,4503.T
2000-10-12,594.8546445989884,593.710693359375,3195000,4503.T
2000-10-13,592.5668334960938,571.9757080078125,6895000,4503.T
2000-10-16,571.9757080078125,571.9757080078125,0,4503.T
2000-10-17,575.4074399423789,574.2634887695312,2125000,4503.T
2000-10-18,583.4152849258916,567.3999633789062,3490000,4503.T
2000-10-19,561.68017578125,561.68017578125,3045000,4503.T
2000-10-20,562.8241275105878,557.1043701171875,4005000,4503.T
2000-10-23,561.6801760319076,557.1043701171875,3565000,4503.T
2000-10-24,567.3999641262754,560.5362548828125,3455000,4503.T
2000-10-25,566.2559202863526,563.968017578125,3740000,4503.T
2000-10-26,562.8240668294918,575.4075317382812,5745000,4503.T
2000-10-27,575.4075317382812,575.4075317382812,0,4503.T
2000-10-30,570.8317876066064,561.68017578125,3485000,4503.T
2000-10-31,565.1121215820312,565.1121215820312,5590000,4503.T
2000-11-01,570.8318179961175,567.3999633789062,4475000,4503.T
2000-11-02,567.3996933555227,579.983154296875,4515000,4503.T
2000-11-03,579.983154296875,579.983154296875,0,4503.T
2000-11-06,608.5821230868831,614.3018798828125,7960000,4503.T
2000-11-07,612.0138848096805,608.58203125,3775000,4503.T
2000-11-08,597.1427593878981,606.2943725585938,4575000,4503.T
2000-11-09,599.4305419921875,590.2789306640625,4790000,4503.T
2000-11-10,561.6800249092072,569.6876831054688,7690000,4503.T
