Price,Open,Close,Volume,Ticker
Ticker,4519.T,4519.T,4519.T,
Date,,,,
2000-01-04,250.92138493506317,249.78598022460938,768000,4519.T
2000-01-05,249.78581826037788,254.327392578125,1371000,4519.T
2000-01-06,267.95220757532746,293.6120300292969,8613000,4519.T
2000-01-07,298.607759262036,300.42437744140625,11655000,4519.T
2000-01-10,300.42437744140625,300.42437744140625,0,4519.T
2000-01-11,300.4243467212676,293.3849182128906,3576000,4519.T
2000-01-12,293.38483146961306,296.33685302734375,4428000,4519.T
2000-01-13,319.044770968062,324.7217102050781,15633000,4519.T
2000-01-14,333.80491135399024,339.48187255859375,13698000,4519.T
2000-01-17,347.429594474931,345.61297607421875,10434000,4519.T
2000-01-18,343.1150032983091,339.7088317871094,5331000,4519.T
2000-01-19,344.2504065988851,348.7919616699219,7938000,4519.T
2000-01-20,345.1587953752556,339.9360046386719,5394000,4519.T
2000-01-21,339.9359725473379,334.94024658203125,2742000,4519.T
2000-01-24,330.39870725078623,338.346435546875,3348000,4519.T
2000-01-25,333.80479740139754,328.1278381347656,2379000,4519.T
2000-01-26,328.127838627674,331.30694580078125,1842000,4519.T
2000-01-27,326.99243149644116,336.0755615234375,2472000,4519.T
2000-01-28,347.42947857196515,354.2418212890625,7248000,4519.T
2000-01-31,354.2418212890625,354.2418212890625,4386000,4519.T
2000-02-01,361.0541648741896,361.96246337890625,7644000,4519.T
2000-02-02,368.774783762942,386.0327453613281,12531000,4519.T
2000-02-03,392.84515566997806,398.5220947265625,6978000,4519.T
2000-02-04,399.884631368849,392.39105224609375,6870000,4519.T
2000-02-07,392.39095982142857,381.4912109375,4215000,4519.T
2000-02-08,381.4912686434659,374.6789245605469,4056000,4519.T
2000-02-09,367.8666566784029,363.55218505859375,4392000,4519.T
2000-02-10,363.5521463443579,365.3687438964844,3555000,4519.T
2000-02-11,365.3687438964844,365.3687438964844,0,4519.T
2000-02-14,363.097877329421,362.6437072753906,2328000,4519.T
2000-02-15,361.05420294608774,356.966796875,2868000,4519.T
2000-02-16,353.3334706030954,351.743896484375,2874000,4519.T
2000-02-17,358.7833840079357,357.6479797363281,2271000,4519.T
2000-02-18,371.27270294482486,365.59576416015625,2298000,4519.T
2000-02-21,366.73121118469146,354.0148620605469,1770000,4519.T
2000-02-22,354.01475997321324,346.2940979003906,2259000,4519.T
2000-02-23,343.1150357419031,363.3249816894531,2745000,4519.T
2000-02-24,370.13732535600064,363.3249816894531,1536000,4519.T
2000-02-25,349.7002456179175,354.2418212890625,1485000,4519.T
2000-02-28,354.24181069514367,358.78338623046875,2721000,4519.T
