Price,Open,Close,Volume,Ticker
Ticker,2768.T,2768.T,2768.T,
Date,,,,
2000-01-04,2322.2978515625,2294.318359375,10140,2768.T
2000-01-05,2322.297369094122,2350.27685546875,16240,2768.T
2000-01-06,2378.2568359375,2294.318359375,15120,2768.T
2000-01-07,2294.318359375,2294.318359375,16560,2768.T
2000-01-10,2294.318359375,2294.318359375,0,2768.T
2000-01-11,2350.2768495858436,2322.29736328125,23180,2768.T
2000-01-12,2350.27734375,2294.318359375,15100,2768.T
2000-01-13,2294.317876976657,2322.29736328125,29520,2768.T
2000-01-14,2350.27734375,2294.318359375,66340,2768.T
2000-01-17,2406.2358952158506,2714.01025390625,62320,2768.T
2000-01-18,2686.0315163352275,2462.195556640625,52180,2768.T
2000-01-19,2490.1748046875,2518.154296875,20940,2768.T
2000-01-20,2574.113039734543,2602.092529296875,18800,2768.T
2000-01-21,2546.134038689431,2490.175048828125,20860,2768.T
2000-01-24,2490.174554934447,2434.215576171875,15980,2768.T
2000-01-25,2434.2160616787996,2462.195556640625,11920,2768.T
2000-01-26,2462.195065553161,2434.215576171875,12720,2768.T
2000-01-27,2406.236575137868,2378.257080078125,14880,2768.T
2000-01-28,2378.2565946357195,2406.236083984375,25480,2768.T
2000-01-31,2378.256341843378,2350.27685546875,25260,2768.T
2000-02-01,2350.27685546875,2350.27685546875,19520,2768.T
2000-02-02,2350.277108028017,2434.215576171875,20240,2768.T
2000-02-03,2378.256341843378,2350.27685546875,16960,2768.T
2000-02-04,2378.257080078125,2378.257080078125,25760,2768.T
2000-02-07,2378.257056702959,2630.072509765625,43100,2768.T
2000-02-08,2518.154543758778,2490.175048828125,41060,2768.T
2000-02-09,2350.277105287064,2406.236083984375,44940,2768.T
2000-02-10,2378.256341843378,2350.27685546875,28620,2768.T
2000-02-11,2350.27685546875,2350.27685546875,0,2768.T
2000-02-14,2462.195062681686,2406.236083984375,22680,2768.T
2000-02-15,2350.2770808293267,2182.400146484375,47460,2768.T
2000-02-16,2182.4001400596217,2126.441162109375,47820,2768.T
2000-02-17,2154.4208984375,2098.4619140625,34800,2768.T
2000-02-18,2098.4616731342517,2126.441162109375,64180,2768.T
2000-02-21,2126.44140625,2042.5029296875,33840,2768.T
2000-02-22,2070.4821600430255,1930.584716796875,50080,2768.T
2000-02-23,1958.564215766059,2014.523193359375,31660,2768.T
2000-02-24,1958.564205446105,1930.584716796875,42200,2768.T
2000-02-25,1930.584716796875,1930.584716796875,37900,2768.T
2000-02-28,1958.564205446105,1930.584716796875,21340,2768.T
