Price,Open,Close,Volume,Ticker
Ticker,9532.T,9532.T,9532.T,
Date,,,,
2000-01-04,730.6963930483219,721.7854614257812,157200,9532.T
2000-01-05,736.6368945312499,742.5775146484375,265600,9532.T
2000-01-06,730.6963745117187,712.87451171875,429400,9532.T
2000-01-07,727.7258324810839,754.4586181640625,194200,9532.T
2000-01-10,754.4586181640625,754.4586181640625,0,9532.T
2000-01-11,742.5775146484374,742.5775146484375,446800,9532.T
2000-01-12,757.4290029438699,715.8446655273438,551800,9532.T
2000-01-13,727.7258638475762,724.7555541992188,630400,9532.T
2000-01-14,736.6367610420768,754.4586181640625,435800,9532.T
2000-01-17,769.3102282389942,781.1914672851562,502600,9532.T
2000-01-18,781.1914740668403,775.2508544921875,376400,9532.T
2000-01-19,775.2508544921875,801.983642578125,442200,9532.T
2000-01-20,796.0428577769886,816.8350219726562,532000,9532.T
2000-01-21,790.1022672833137,787.1319580078125,815400,9532.T
2000-01-24,784.1617770466968,781.1914672851562,333000,9532.T
2000-01-25,781.1915083665115,772.2805786132812,235800,9532.T
2000-01-26,781.1914271304482,790.1023559570312,174600,9532.T
2000-01-27,781.1915083665115,772.2805786132812,187200,9532.T
2000-01-28,766.3396751767114,748.517822265625,362400,9532.T
2000-01-31,757.4288652528007,787.1319580078125,462200,9532.T
2000-02-01,766.3401195384838,721.7854614257812,896600,9532.T
2000-02-02,733.6665244201407,715.8446655273438,933000,9532.T
2000-02-03,727.7259322237378,718.8150024414062,519000,9532.T
2000-02-04,718.8147685587907,706.9335327148438,832000,9532.T
2000-02-07,718.8147685587907,706.9335327148438,578600,9532.T
2000-02-08,706.933599439718,700.9929809570312,694800,9532.T
2000-02-09,700.9929358440896,683.1710815429688,464200,9532.T
2000-02-10,683.1712374624727,680.200927734375,823000,9532.T
2000-02-11,680.200927734375,680.200927734375,0,9532.T
2000-02-14,665.3492483708532,626.7352294921875,980000,9532.T
2000-02-15,635.6462378525152,608.9134521484375,922600,9532.T
2000-02-16,608.913428078235,632.6759033203125,1252400,9532.T
2000-02-17,629.7055386367003,626.7352294921875,1178600,9532.T
2000-02-18,611.8838696639503,620.7947998046875,1492400,9532.T
2000-02-21,611.8837340111826,605.943115234375,947800,9532.T
2000-02-22,608.9134926371055,600.0025634765625,905400,9532.T
2000-02-23,602.9727840898049,597.0321655273438,1170400,9532.T
2000-02-24,605.9431426257622,608.9134521484375,602200,9532.T
2000-02-25,608.913600884595,611.8839111328125,927600,9532.T
2000-02-28,602.9728058459712,605.943115234375,597800,9532.T
2000-02-29,605.9432906363775,611.8839111328125,565600,9532.T
2000-03-01,608.9136433718827,602.9730224609375,892200,9532.T
2000-03-02,602.9728058459712,605.943115234375,545600,9532.T
2000-03-03,611.8838696639503,620.7947998046875,683400,9532.T
2000-03-06,632.6758143586932,629.7055053710938,390800,9532.T
2000-03-07,629.705863572893,656.4386596679688,981400,9532.T
2000-03-08,653.4681396484375,653.4681396484375,873000,9532.T
2000-03-09,653.4679331977246,644.5570068359375,536000,9532.T
2000-03-10,638.6166436822565,659.4088134765625,1696600,9532.T
2000-03-13,662.37928102243,656.4386596679688,728400,9532.T
2000-03-14,659.4087727864584,668.3197021484375,1023800,9532.T
2000-03-15,665.3492152466367,662.37890625,500000,9532.T
2000-03-16,668.31978655876,698.0228881835938,875200,9532.T
2000-03-17,712.8741164434524,748.517822265625,787600,9532.T
2000-03-20,748.517822265625,748.517822265625,0,9532.T
2000-03-21,748.5179991234006,754.4586181640625,801600,9532.T
2000-03-22,754.4587191068209,772.2805786132812,602000,9532.T
2000-03-23,772.2802928137401,748.517822265625,714400,9532.T
2000-03-24,748.5180992713341,772.2805786132812,810200,9532.T
2000-03-27,796.0430230034723,801.983642578125,925000,9532.T
2000-03-28,794.4885183481069,779.4981689453125,179800,9532.T
2000-03-29,785.4943448318425,806.4808349609375,286200,9532.T
2000-03-30,800.4847057253816,773.5020751953125,259400,9532.T
2000-03-31,773.5021258938697,743.5214233398438,555200,9532.T
2000-04-03,734.5269436306424,755.513427734375,484400,9532.T
2000-04-04,764.507708855395,794.4884033203125,421200,9532.T
2000-04-05,800.4846267700196,815.4749755859375,612800,9532.T
2000-04-06,830.4651815068255,842.4574584960938,1345200,9532.T
2000-04-07,857.4479599266722,854.4498901367188,872800,9532.T
2000-04-10,869.4401539622487,857.4478759765625,350200,9532.T
2000-04-11,842.4578382943629,848.4539794921875,546200,9532.T
2000-04-12,851.4517679148706,869.440185546875,905800,9532.T
2000-04-13,869.4404670217193,872.4385375976562,742800,9532.T
2000-04-14,872.4380055710724,878.4341430664062,758800,9532.T
2000-04-17,848.4535618935862,929.4014282226562,1478200,9532.T
2000-04-18,914.4113079913251,923.405517578125,763600,9532.T
2000-04-19,908.4148305430754,878.4341430664062,700800,9532.T
2000-04-20,899.4208901615466,884.4305419921875,660400,9532.T
2000-04-21,899.4208191593635,812.476806640625,602200,9532.T
2000-04-24,848.4539002677462,905.417236328125,498000,9532.T
2000-04-25,905.417099202474,899.4209594726562,348800,9532.T
2000-04-26,899.4209064421107,914.4112548828125,523800,9532.T
2000-04-27,905.416880853013,920.4072265625,653000,9532.T
2000-04-28,929.4015865002649,884.4305419921875,546800,9532.T
2000-05-01,905.4170458183914,914.4112548828125,246600,9532.T
2000-05-02,914.4112699885032,896.4228515625,182400,9532.T
2000-05-03,896.4228515624999,896.4228515625,0,9532.T
2000-05-04,896.4228515624999,896.4228515625,0,9532.T
2000-05-05,896.4228515624999,896.4228515625,0,9532.T
2000-05-08,896.4228361495818,890.4266967773438,276400,9532.T
2000-05-09,890.4266967773438,890.4266967773438,0,9532.T
2000-05-10,908.414794921875,908.414794921875,318400,9532.T
2000-05-11,908.4151690673829,899.4209594726562,268600,9532.T
2000-05-12,899.4210956901904,905.417236328125,408400,9532.T
2000-05-15,899.4209058357008,890.4266967773438,284800,9532.T
2000-05-16,884.4305335735453,869.440185546875,234400,9532.T
